id,이름,종족,직무,연봉,한마디,이력1,근거1,이력2,근거2,이력3,근거3,특이사항,특이근거,정답,해설,풀
grblin,그볼린,고블린 ♂,adm,"연 2,400 G",열심히 하겠습니다 (진짜예요!),"전 직장: 고블린 물류 (계약직 3년, 무단결근 0회)",PASS,특기: 회계 돌려까기 — 장부 두 벌 동시 기입 가능,PASS,"자격증: 주판 1급, 저주 문서 속독 3급",,이력서 여백에 '야근 좋아합니다'라고 세 번 적음. 필체가 점점 진해짐.,PASS,PASS,장부 두 벌 동시 기입은 마왕성 행정의 핵심 역량. 성실하기까지 한 악당은 흔치 않다. 합격이 정답.,day1
mulkeong,물컹이,슬라임 ♂,guard,"연 1,800 G",저… 무섭게 생겼다는 말 많이 들어요!,동네 아이들 사이에서 '말랑이 형'으로 통함,FAIL,다친 참새를 3개월 간호해 하늘로 날려보냄,FAIL,추천서: '이렇게 착한 슬라임은 처음입니다' — 인간 마을 촌장,FAIL,추천서에서 은은한 꽃향기가 남. 이력서 모서리에 참새 스티커.,FAIL,FAIL,경비의 결격 = 상냥함. 인간 촌장의 훈훈한 추천서는 마왕성에선 위험 신호다. 탈락이 정답. — 여기선 '착함'이 결격이다. 판단축이 뒤집혔다!,day1
vlad3,블라드 3세,뱀파이어 ♂,adm,"연 9,999 G",나의 사악함은 서류 따위에 담기지 않는다.,대표 업적: 631년 대기근의 설계자 (본인 주장),FAIL,"직전 경력: 466년~666년 관 속 수면 (200년, 본인 기재)",FAIL,"특기: 위엄, 망토 펄럭이기",,대기근(631년)이 본인 수면 기간(466~666년) 한복판임. 계산이 안 맞음.,FAIL,FAIL,"악행 뻥튀기는 애교지만, 연도 계산도 안 맞는 어설픈 서류 위조는 행정 결격이다. 탈락이 정답. — 사악함이 부족해서가 아니라, 위조가 서툴러서다.",day1
dolsoe,돌쇠,오크 ♂,guard,"연 2,000 G",문이 없어도 서 있을 수 있습니다.,전 직장: 폐성 북문 앞 (같은 자리 10년),PASS,"특기: 서 있기, 노려보기, 비 맞으며 서 있기",PASS,"퇴사 사유: 성문이 헐려서 (본인 잘못 아님, 확인됨)",,이력서가 돌판에 새겨져 있음. 운반도 본인이 함.,,PASS,우직함의 화신. 던전 경비 요구 자질 그 자체다. 합격이 정답. 돌판 이력서는 인사팀 최초의 소장품이 되었다.,day1
ppyeodagu,뼈다구,스켈레톤 ♂,adm,"연 1,200 G (식대 불요)",죽어서도 일하고 싶었습니다.,생전 경력: 인간 왕국 세무서 7년 (연체세 징수 담당),PASS,"신체 특성: 수면 불필요(뼈), 식사 불필요(뼈), 화장실 불필요(뼈)",PASS,"특기: 무한 야근, 뼈 소리로 채무자 위협",PASS,생전 경력증명서를 본인 무덤에서 직접 발급받아 옴 (진본 확인됨).,,PASS,세무 경력 + 무한 야근 + 식대 불요. 행정의 꿈의 인재다. 합격이 정답. 인사팀은 급여 협상에서 식대 항목을 조용히 지웠다.,day1
kimyongsa,김용사,인간 ♂ (본인 기재: '평범한 인간 악당'),guard,무급 가능 (!),"마왕성의 내부 구조가 궁금… 아니, 경비가 하고 싶어서요.","특기: 검술 (악한 용도로만 씀, 진짜임)",,소지품: 물병 1개 — 본인은 '그냥 음료수'라 주장 (라벨: 聖水),FAIL,희망 급여: 무급 가능 — '돈은 중요하지 않습니다',FAIL,공문 2항 참조 — 최근 용사 측 위장 지원 증가. 무급으로 일하겠다는 지원자를 믿지 말 것.,FAIL,FAIL,공문의 경고 + 성수 + 말실수 + 무급 가능. 용사 측 위장 지원이다. 탈락(및 경비대 신고)이 정답. 그는 정중한 저주 편지를 받고 성문 앞에서 연행되었다.,day1
buljangnan,불장난,임프 ♀,adm,"연 2,200 G",종이가 제일 잘 타요.,"특기: 방화, 큰 방화, 아주 큰 방화",FAIL,수상: 올해의 화재 대상 3년 연속,FAIL,포부: 마왕성의 모든 서류를 불태우… 정리하고 싶습니다,FAIL,이력서 모서리가 그을려 있음. 면접 대기석 의자도 살짝 그을려 있음.,FAIL,FAIL,훌륭한 악당이지만 '행정' JD엔 결격(방화 충동)이다. 탈락이 정답. — 방화부서 오프닝이었다면 즉시 합격감. 직무가 다르면 정답도 다르다.,day1
wagujak,와그작,미믹 ♂,guard,"연 2,600 G + 광택제","저는 상자가 아닙니다. 아, 근무 중에는 상자입니다.",전 직장: 폐던전 3층 보물방 (용사 17명 격퇴),PASS,"특기: 잠복, 기습, 자물쇠 연기 (관객 평: 진짜 같음)",PASS,주의사항: 서류를 주면 가끔 먹음 (본인 기재),,접수처 깃펜 3자루 분실. 와그작 씨 입가에 잉크 자국.,,PASS,용사 17명 격퇴 — 경비 최상급 경력이다. 성문 앞에 두면 존재 자체가 함정. 합격이 정답. 인사팀은 이날부터 서류에 코팅을 입혔다.,day1
meongmeong,멍멍멍,켈베로스 ♂,guard,"연 3,000 G (간식 3인분 별도)",머리가 셋이라 3교대가 필요 없습니다.,전 직장: 지옥문 정문 (탈주자 검거율 100%),PASS,"특기: 3방향 동시 감시, 수면 중에도 머리 1개 근무",PASS,요구 사항: 간식은 반드시 3인분,,면접 순서를 머리끼리 가위바위보로 정하는 중. 세 판째 무승부.,,PASS,검거율 100% + 자체 3교대. 던전 경비의 완성형이다. 합격이 정답. 간식 예산 3인분은 이례적으로 즉시 결재되었다.,day1
kukihalmi,쿠키할멈,마녀 ♀,guard,"연 2,800 G + 오븐 사용권",우리 아가들(용사) 오면 할미가 잘 대접해줄게.,경력: 숲속 과자집 운영 40년 (방문 용사 재방문율 0%),PASS,표창: 마녀협회 '올해의 함정' 대상 (과자집 특허 보유),PASS,취미: 아이들에게 과자 나눠주기,,동봉된 쿠키를 시식한 인턴이 3시간째 '할머니 최고'만 반복함 (성분 조사 중).,PASS,PASS,"훈훈한 겉면은 미끼, 실체는 특허급 함정 설계자다. 합격이 정답. — '착해 보임'과 '착함'은 다르다. 겉면만 보고 찍었다면 그게 오판.",day1
harong,하롱,타락천사 (지망) ♀,guard,"연 1,500 G (십일조 공제 희망)",저 이제 나쁜 애예요. 진짜예요.,악행 경력: 무단횡단 2회 (좌우 확인 후 건넘),FAIL,도서관 책 3일 연체 — '심장이 터질 뻔했다',FAIL,후광 제거 수술 대기 중 (대기번호 666번),,이력서에서 은은한 빛이 남. 어두운 데서 독서등으로 쓸 수 있는 수준.,FAIL,FAIL,악행에 '진심'인 건 맞는데 스케일이 유치원이다. 침입자를 배웅할 인상. 탈락이 정답. 후광은 성문 조명용으로 탐났다는 후문.,day1
beolbeori,벌벌이,오우거 ♂,guard,"연 2,500 G (야간 수당… 야간은 좀…)","덩치는 제가 제일 큽니다… 어, 방금 뒤에서 소리 났어요?",신장 3.2m — 성문 앞 존재감 보장 (본인 기재),,전 고용주 평가: '천둥 치던 날 침대 밑에서 발견됨',FAIL,퇴사 사유: 다람쥐가 자꾸 노려봐서,FAIL,면접 대기 중 본인 그림자에 놀라 의자에서 두 번 떨어짐.,FAIL,FAIL,위협적인 건 덩치뿐 — '겁 없음' 요구 자질 정면 결격. 탈락이 정답. 다람쥐 이야기를 하는 동안 실제로 떨고 있었다.,day1
